language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
19	Lezgian	1	main	INEL	jajluχ-∅ naqw-ar-aj qʔeʒe-na	handkerchief.S-ABS tear-PL-INEL get_wet-AOR	The handerchief got soaked from tears.	платок.S-ABS слеза-PL-INEL мокнуть-AOR	Платок намок от слез.		
19	Lezgian	1	alternate	ADESS	jajluχ-∅ naqw-ar-iw qʔeʒe-na	handkerchief.S-ABS tear-PL-ADESS get_wet-AOR	The handerchief got soaked from tears.	платок.S-ABS слеза-PL-ADESS мокнуть-AOR	Платок намок от слез.		
19	Lezgian	2	main	SREL	zalanwil-elaj tarts-in χel-∅ χa-na	weight-SREL tree.S-GEN branch.S-ABS break-AOR	The branch broke from the weight.	тяжесть-SREL дерево.S-GEN ветка.S-ABS ломаться-AOR	От тяжести ветка дерева сломалась.		
19	Lezgian	3	main	n.a.	gum-∅ galuqʔ-aj diʃehli-di yhy-∅ ja-zawa	smoke.S-ABS get_into-AOP woman.S-ERG cough.S-ABS beat-IMPF	The woman, who felt the smoke, is coughing.	дым.S-ABS попасть-AOP женщина.S-ERG кашель.S-ABS бить-IMPF	Женщина, до которой донесся дым, кашляет.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
19	Lezgian	4	main	INEL	tʃ-az mitʃʔiwil-aj qereχ-∅ ʔakwa-zwa-fʃ	1PL-DAT darkness-INEL shore.S-ABS see-IMPF-NEG 	We can’t see the shore because of the darkness.	1PL-DAT темнота-INEL берег.S-ABS видеть-IMPF-NEG 	Нам не видно берега из-за темноты.		
19	Lezgian	5	main	n.a.	ɣalatʔ-∅ xa-na ʔitim-∅ dustaɣ ʔawu-na	mistake.S-ABS become-AOC man.S-ABS prison make-AOR	There was a mistake and a man went to prison.	ошибка.S-ABS стать-AOC мужчина.S-ABS тюрьма делать-AOR	Случилась ошибка, мужчина попал в тюрьму	This translation is not included in the database because the expression corresponding to the causing event is not a syntactic dependent of the expression corresponding to the caused event. 	
19	Lezgian	5	alternate	SRDIR	ɣalatʔd-aldi ʔitim-∅ dustaɣ ʔawu-na	mistake.S-SRDIR man.S-ABS prison make-AOR 	The man was arrested by mistake.	ошибка.S-SRDIR мужчина.S-ABS тюрьма делать-AOR 	По ошибке мужчина попал в тюрьму.		
19	Lezgian	6	main	n.a.	qaj-u tar-∅ jarχar-na	wind.S-ERG tree.S-ABS lay-AOR 	The wind brought the tree down.	ветер.S-ERG дерево.S-ABS уложить-AOR 	Ветер повалил дерево.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
19	Lezgian	7	main	n.a.	tok-di ja-na ʔitim-∅ qʔe-na	electricity.S-ERG beat-AOC man.S-ABS die-AOR	(The man) got electrocuted and the man died.	ток.S-ERG бить-AOC мужчина.S-ABS умереть-AOR	Ударил ток, мужчина умер.	This translation is not included in the database because the expression corresponding to the causing event is not a syntactic dependent of the expression corresponding to the caused event. 	
19	Lezgian	7	alternate	n.a.	tok-di ʔitim-∅ qʔe-na	electricity.S-ERG man.S-ABS kill-AOR 	Electricity killed the man.	ток.S-ERG мужчина.S-ABS убить-AOR 	Ток убил мужчину.	This translation is not included in the database because the expected causal noun phrase is expressed as the grammatical subject.	
19	Lezgian	8	main	SRDIR	haraj-ʔewerd-in sesin-aldi diʃehli-∅ ʔaχwar-aj ʔawat-na	noise.S-GEN sound.S-SRDIR woman.S-ABS sleep.S-INEL fall-AOR 	The woman woke up from the noise.	шум.S-GEN звук.S-SRDIR женщина.S-ABS сон.S-INEL падать-AOR 	От звука шума женщина проснулась 		
19	Lezgian	9	main	n.a.	piwo-∅ qhwajiwil-aj ʔitimd-in qʔil-∅ tʔar-zawa	bear.S-ABS drink-INEL man.S-GEN head.S-ABS hurt-IMPF	The man has a headache from drinking beer.	пиво.S-ABS пить-INEL  мужчина.S-GEN голова.S-ABS болеть-IMPF	От питья пива голова мужчины болит.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
19	Lezgian	9	alternate	SBDIR	piwod-ikdi ʔitimd-in qʔil-∅ tʔar-zawa	bear.S-SBDIR man.S-GEN head.S-ABS hurt-IMPF	The man has a headache from the beer.	пиво.S-SBDIR мужчина.S-GEN голова.S-ABS болеть-IMPF	От пива голова мужчины болит.		
19	Lezgian	10	main	n.a.	qurtsuld-in qʔilin-pats-ar-aldi diʃehli-diz qhwer-∅ ʔata-na	puppy.S-GEN roll-PL-SRDIR woman.S-DAT laugh.S-ABS come-AOR 	The woman laughed at the rolling of the puppy.	щенок.S-GEN кувырок-PL-SRDIR женщина.S-DAT смех.S-ABS приходить-AOR 	Из-за кувырков щенка женщине стало смешно.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
