language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
2	Japanese	1	main	INS	Hankachi-ga namida-de nure-ta.	handkerchief-NOM tears-INS get_wet-PST	The handkerchief got soaked from tears.		Платок намок от слез.		
2	Japanese	2	main	INS	Eda-ga omo-sa-de ore-ta.	branch-NOM heavy-NMLZ-INS break-PST	The branch broke from the weight.		Ветка сломалась от тяжести.		
2	Japanese	3	main	GEN_sei-de	Josei-wa kemuri-no sei-de seki-o shi-te-i-ru.	woman-TOP smoke-GEN fault-INS coughing-ACC do-CVB-INCM-PRS	The woman is coughing because of the smoke.		Женщина кашляет из-за дыма.		The informants assessed this marker as more preferable than INS.
2	Japanese	3	alternate	INS	Josei-wa kemuri-de sekikon-de-i-ru.	woman-TOP smoke-INS cough-CVB-INCM-PRS	The woman is coughing because of the smoke.		Женщина кашляет от дыма.		The informants assessed this marker as less preferable than GEN_sei-INS. 
2	Japanese	4	main	GEN_sei-de	Kurayami-no sei-de kishi-ga mie-na-i.	darkness-GEN fault-INS shore-NOM be_visible-NEG-PRS	Because of the darkness the shore isn’t visible.		Из-за темноты не видно берега.		The informants assessed this marker as more preferable than GEN_tame. 
2	Japanese	4	alternate	GEN_tame-ni	Kurayami-no tame-ni kishi-ga mie-na-i.	darkness-GEN cause-DAT shore-NOM be_visible-NEG-PRS	Due to the darkness the shore isn't visible.		По причине темноты не видно берега.		This translation is slightly formal.
2	Japanese	5	main	n.a.	Dansei-wa machigatte taiho-s-are-ta.	man-TOP mistakenly arrest-VBLZ-PASS-PST	The man was arrested by mistake.		Мужчина был арестован по ошибке.	This translation is not included in the database because the causing event is expressed as an adverb, not a noun phrase.	mistakenly (> make.a.mistake-CVB)
2	Japanese	6	main	INS	Ki-ga kaze-de taore-ta.	tree-NOM wind-INS fall-PST	The tree fell because of the wind.		Дерево упало от ветра.		
2	Japanese	7	main	INS	Dansei-wa kanden.shokku-de sokushi-shi-ta.	man-TOP electric_shock-INS instant_death-VBLZ-PST	The man died immediately from electric shock.		Мужчина погиб на месте от удара тока.		
2	Japanese	8	main	INS	Josei-wa sōon-de me-ga same-ta.	woman-TOP noise-INS eyes-NOM wake_up-PST	The woman woke up from the noise.		Женщина проснулась от шума.		
2	Japanese	9	main	GEN_sei-de	Dansei-wa bīru-no sei-de atama-ga ita-i.	man-TOP beer-GEN fault-INS head-NOM sore-PRS	The man has a headache from the beer.		У мужчины от пива болит голова.		
2	Japanese	10	main	ACC	Josei-wa koinu-o warat-ta.	woman-TOP puppy-ACC laugh-PST	The woman laughed at the puppy. 		Женщина рассмеялась из-за щенка.		One informant assessed such usage of the accusative marker as ungrammatical, but it is well attested in the corpus. In any case o is not used a causal marker with other verbs.
2	Japanese	11	main	n.a.	Dansei-wa dokusei-no sakana-o tabe-te futsuka-go-ni shin-da.	man-TOP poisonousness-GEN fish-ACC eat-CVB two_days-later-DAT die-PST	The man ate a poisonous fish and died two days later.		Мужчина съел ядовитую рыбу и умер два дня спустя.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
