language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
6	Assyrian Neo-Aramaic	1	main	mən	 +yáləxt ída trí-la mən +də́mm=ət +áynə	handkerchief(F) hand(F) become_wet.PST-LS.3F from tear(F).PL=REL eye(F).PL	The handerchief soaked from tears.	платок(F) REL=рука(F) намокнуть.PST-LS.3F от слеза(F).PL=REL глаз(F).PL	Платок (для рук) намок от слез.		
6	Assyrian Neo-Aramaic	2	main	mən	 +páva +šmə́ṭ-lə mən +yúkra	branch(M) break.PST-LS.3M from weight(M)	The branch broke from the weight.	ветка(M) сломаться.PST-LS.3M от вес(M)	Ветка сломалась от веса.		
6	Assyrian Neo-Aramaic	3	main	but	báxta +bəššál=əla ka but tə́nna	woman(F) cough.PROG=3F to about smoke(M)	The woman is coughing because of the smoke.	женшина(F) кашлять.PROG=3F к о дым(M)	Женщина кашляет от дыма.		
6	Assyrian Neo-Aramaic	4	main	but	áxnan léx bəxzáy-u bə́rza ka but háda xə́šca	we NEG.1PL see.PROG-P.3M dry_land(M) to about thus darkness(M)	We can’t see the dry land because of the darkness.	мы NEG.1PL видеть.PROG-P.3F сухая_земля(M) к о так темнота(M)	Мы не видим сухую землю из-за темноты.		
6	Assyrian Neo-Aramaic	4	alternate	risət	áxnan léx bəxzáyy-u bə́rza ríš=ət xə́šca	we NEG.1PL see.PROG-P.3M dry_land(M) head=REL darkness(M)	We can’t see the dry land because of the darkness.	мы NEG.1PL видеть.PROG-P.3F сухая_земля(M) голова=REL темнота(M)	Мы не видим сухую землю из-за темноты.		
6	Assyrian Neo-Aramaic	5	main	bi	náša dvə́k-lun bi +xə́lṭa	man(M) seize.PST-LS.3PL with mistake(M)	The man was arrested by mistake. 	мужчина(M) арестовать.PST-LS.3PL с ошибка(M)	Мужчину арестовали по ошибке.		
6	Assyrian Neo-Aramaic	6	main	but	ilána npə́l-lə ka but póxa	tree(M) fall.PST-LS.3M to about wind(M)	The tree fell because of the wind.	дерево(M) падать.PST-LS.3M к о ветер(M)	Дерево упало из-за ветра.		
6	Assyrian Neo-Aramaic	7	main	mən	náša mə́t-lə mən mxét=ət bə́rka	man(M) die.PST-LS.3M from hit.NMLZ=REL lightning(M)	The man died from electrisity.	мужчина(M) умирать.PST-LS.3M от ударять.NMLZ=REL экектричество(M)	Мужчина умер от удара электричества.		
6	Assyrian Neo-Aramaic	8	main	mən	báxta +rə́š-la mən kála	woman(F) wake_up.PST-LS.3F from voice(M)	The woman woke up from the noise.	женщина(F) просыпаться.PST-LS.3F от голос(M)	Женщина проснулась от шума.		
6	Assyrian Neo-Aramaic	9	main	mən	ríš=ət náša +mráy=əl mən +xámra	head(M)=REL man(M) hurt.PROG=3M from wine(M)	A man's head hurts from the wine.	голова(M)=REL мужчина(M) болеть.PROG=3M от вино(M)	Голова мужчины болит от вина.		
