sentence_no	sentence_en	sentence_ru	type	objective_subjective	direct_indirect	internal_external	taxis
1	The handkerchief got soaked <from> [tears].	Платок намок <от> [слез]. 	ontological	objective	direct	external	simultaneous
2	The branch broke <from> [the weight].	Ветка сломалась <от> [тяжести].	ontological	objective	direct	external	simultaneous
3	The woman is coughing <because of> [the smoke].	Женщина кашляет <от> [дыма].	ontological	objective	direct	external	simultaneous
4	We can’t see the shore <because of> [the darkness].	Мы не видим берег <из-за> [темноты].	ontological	objective	direct	external	simultaneous
5	The man was arrested <by> [mistake]. {He has the same name as the criminal}.	Мужчину арестовали <по> [ошибке]. {Он однофамилец преступника}.	ontological	objective	direct	external	n.a.
6	The tree fell <due to> [the wind].	Дерево упало <от> [ветра].	ontological	objective	direct	external	n.a.
7	The man died <from> [electric shock] {immediately}.	Мужчина погиб <от> [удара тока] {сразу}.	ontological	objective	direct	external	n.a.
8	The woman woke up <from> [the noise].	Женщина проснулась <от> [шума].	ontological	objective	direct	external	n.a.
9	The man has a headache <from> [the beer].	У мужчины <от> [пива] болит голова.	ontological	objective	direct	external	anterior
10	{The puppy tumbled over in a funny way}. The woman laughed <at> [the puppy].	{Щенок смешно кувыркается} Женщина рассмеялась <?> [щенок].	ontological	objective	direct	external	n.a.
11	The man died <from> [a poisonous fish] {2 days after poisoning}.	Мужчина умер <от> [ядовитой рыбы] {через два дня после отравления}.	ontological	objective	direct	external	anterior
12	The girl is satisfied <with> [her grade].	Девочка довольна [своей оценкой].	ontological	objective	direct	external	n.a.
13	{The man said something bad}. The wife was angered <by> [her husband’s words].	{Мужчина сказал что-то плохое}. Жена рассердилась <на> [слова мужа].	ontological	objective	direct	external	n.a.
14	The boy was thrilled <by> [this idea]. {His dad has suggested to go watch football}.	Мальчик в восторге <от> [этой идеи] {папа предложил ему сходить на футбол}.	ontological	objective	direct	external	n.a.
15	The man was weakened <by> [hunger].	Мужчина ослабел <от> [голода].	ontological	objective	direct	internal	simultaneous
16	The man died <of> [starvation].	Мужчина умер <от> [голода].	ontological	objective	direct	internal	simultaneous
17	The man is screaming <from> [the pain].	Мужчина кричит <от> [боли].	ontological	objective	direct	internal	simultaneous
18	The woman is shivering <from> [the cold]. 	Женщина дрожит <от> [холода].	ontological	objective	direct	internal	simultaneous
19	The child began to cry <out of> [fear].	Ребенок заплакал <от> [страха].	ontological	objective	direct	internal	simultaneous
20	The child laughed <with> [joy].	Ребенок рассмеялся <от> [радости].	ontological	objective	direct	internal	simultaneous
21	The child hid in the barn <out of> [fear].	Ребенок <от> [страха] спрятался в сарае[1].	ontological	objective	direct	internal	simultaneous
22	The man kept silent <out of> [modesty].	Мужчина <по> [скромности] промолчал.	ontological	objective	direct	internal	simultaneous
23	The woman grabbed her brother’s hand <in> [fear].	Женщина <в> [страхе] схватила брата за руку.	ontological	objective	direct	internal	simultaneous
24	The woman is tired <from> [work].	Женщина устала <от> [работы].	ontological	objective	direct	internal	anterior
25	The woman can’t fall asleep <because of> [the mosquitoes].	Женщина не может заснуть <из-за> [комаров].	ontological	objective	indirect	external	simultaneous
26	The water looks bright <because of> [the moon].	Вода кажется светлой <из-за> [луны].	ontological	objective	indirect	external	simultaneous
27	<Thanks to> [his dog], the man had a successful hunt.	Мужчина удачно сходил на охоту <благодаря> [собаке].	ontological	objective	indirect	external	simultaneous
28	{The man said something bad}. The wife was angry <at> [her husband].	{Мужчина сказал что-то плохое}. Жена рассердилась <на> [мужа][2].	ontological	objective	indirect	external	n.a.
29	The woman was late for work <because of> [her husband]. {He forgot his car keys at home}.	Женщина опоздала на работу <из-за> [мужа] {он забыл дома ключи от машины}.	ontological	objective	indirect	external	anterior
30	The people died <because of> [the earthquake]. {The miners were trapped in a mineshaft and could not be saved}.	Люди погибли <из-за> [землетрясения] {шахтеры оказались заперты в шахте, и их не смогли спасти}.	ontological	objective	indirect	external	anterior
31	All misfortunes happen <because of> [humans/people].	Все беды происходят <из-за> [человека / людей].	ontological	objective	indirect	external	n.a.
32	The man can see better now <thanks to> [the operation].	Мужчина стал лучше видеть <благодаря> [операции].	ontological	objective	indirect	external	anterior
33	The woman is alive <thanks to> [that man]. {He found her when she got lost in the forest}.	Женщина жива <благодаря> [этому мужчине] {он нашел ее, когда она заблудилась в лесу}.	ontological	objective	indirect	external	anterior
34	The man told his wife about it <out of> stupidity].	Мужчина рассказал об этом жене <по> [глупости].[3]	ontological	objective	indirect	internal	simultaneous
35	The woman slipped <because of> [carelessness].	Женщина поскользнулась <по> [неосторожности].	ontological	objective	indirect	internal	simultaneous
36	The pilot was able to land the plane <thanks to> [his experience].	Пилот смог посадить самолет <благодаря> [большому опыту].	ontological	objective	indirect	internal	anterior
37	The pilot could not land the plane <due to> [inexperience].	Пилот не смог посадить самолет <из-за> [неопытности].	ontological	objective	indirect	internal	n.a.
38	In wartime, people ate grass <out of> [hunger].	Во время войны люди <с> [голода] ели траву.	ontological	subjective	direct	internal	simultaneous
