language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
21	Ukrainian	1	main	vid_GEN	Хустинк-а змок-л-а від сліз.	handkerchief(F)-NOM.SG get_soaked-PST-SG.F from tear(F).GEN.PL	The handkerchief got soaked from tears.	платок(F)-NOM.SG промокнуть-PST-SG.F от слеза(F).GEN.PL	Носовой платок промок от слез.		
21	Ukrainian	2	main	vid_GEN	Гілляк-а злама-л-а-ся від важкост-і.	branch(F)-NOM.SG break-PST-SG.F-REFL from heaviness(F)-GEN.SG	The branch broke from the weight.	ветка(F)-NOM.SG сломаться-PST-SG.F-REFL от тяжесть(F)-GEN.SG	Ветка сломалась от тяжести.		
21	Ukrainian	3	main	vid_GEN	Жінк-а кахика-є від дим-у.	woman(F)-NOM.SG cough-PRS.3SG from smoke(M)-GEN.SG	The woman is coughing because of the smoke.	женщина(F)-NOM.SG кашлять-PRS.3SG от дым(M)-GEN.SG	Женщина кашляет из-за дыма.		
21	Ukrainian	4	main	cerez_ACC	Ми не бач-имо берег-а через темряв-у.	we.NOM NEG see-PRS.1PL shore(M)-GEN.SG through darkness(F)-ACC.SG	We can’t see the shore because of the darkness.	мы.NOM NEG видеть-PRS.1PL берег(M)-GEN.SG через темнота(F)-ACC.SG	Мы не видим берег из-за темноты.		
21	Ukrainian	5	main	n.a.	Чоловік-а арештува-л-и помилково.	man(M)-ACC.SG arrest-PST-PL mistakingly	The man was arrested by mistake.	мужчина(M)-ACC.SG арестовать-PST-PL ошибочно	Мужчина был арестован по ошибке.	This translation is not included in the database because the causing event is expressed as an adverb, not a nominal phrase.	
21	Ukrainian	6	main	vid_GEN	Дерев-о впал-о від вітр-у.	tree(N)-NOM.SG fall-PST-SG.N from wind(M)-GEN.SG	The tree fell due to the wind.	дерево(N)-NOM.SG упасть-PST-SG.N от ветер(M)-GEN.SG	Дерево упало из-за ветра.		
21	Ukrainian	7	main	vid_GEN	Чоловік загину-в від удар-у струм-у.	man(M).NOM.SG perish-PST.SG.M from hit(M)-GEN.SG current(M)-GEN.SG	The man died from electric shock.	мужчина(M).NOM.SG погибнуть-PST.SG.M от удар(M)-GEN.SG ток(M)-GEN.SG	Мужчина умер от удара током.		
21	Ukrainian	8	main	vid_GEN	Жінк-а прокину-л-а-ся від галас-у.	woman(F)-NOM.SG wake_up-PST-SG.F-REFL from noise(M)-GEN.SG	The woman woke up from the noise.	женщина(F)-NOM.SG проснуться-PST-SG.F-REFL от шумM)-GEN.SG	Женщина проснулась от шума.		
21	Ukrainian	9	main	vid_GEN	У чоловік-а від пив-а бол-ить голов-а.	by man(M)-GEN.SG from beer(N)-GEN.SG ache-PRS.3SG head(F)-NOM.SG	The man has a headache from the beer.	у мужчина(M)-GEN.SG от пиво(N)-GEN.SG болеть-PRS.3SG голова(F)-NOM.SG	У мужчины болит голова от пива.		
21	Ukrainian	10	main	n.a.	n.a.	n.a.	n.a.	n.a.	n.a.	No satisfactory translation has been obtained.	
21	Ukrainian	11	main	vid_GEN	Чоловік помер від отруйн-ої риб-и.	man(M).NOM.SG die.PST.SG.M from poisonous-GEN.SG.F fish(F)-GEN.SG	The man died from a poisonous fish.	мужчина(M).NOM.SG умереть.PST.SG.M от ядовитый-GEN.SG.F рыба(F)-GEN.SG	Мужчина умер от ядовитой рыбы.		
