language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
11	Maloe Karachkino Chuvash	1	main	INS	 totər koɕol-ba jëben-ze	handkerchief tear-INS get_wet-CV_SIM	The handerchief got soaked from tears.	платок слеза-INS мокнуть-CV_SIM	Платок намок от слез. 		
11	Maloe Karachkino Chuvash	2	main	pergi	 torat jurə bergi xoʑ-əl-za	branch weight POST break-REFL-CV_SIM 	The branch broke from the weight.	ветка тяжесть POST ломать-REFL-CV_SIM 	Ветка сломалась от тяжести. 		
11	Maloe Karachkino Chuvash	3	main	ABL	 xërarəm tëdëm-ren ëzër-et	woman smoke-ABL cough-NPST[3SG]	The woman is coughing because of the smoke.	женщина дым-ABL кашлять-NPST[3SG]	Женщина кашляет от дыма. 		
11	Maloe Karachkino Chuvash	4	main	pergi	 per tëtëm bergi ɕɨran kor-ma-pər	we darkness POST shore see-NEG-1PL	We can’t see the shore because of the darkness.	мы темнота POST берег видеть-NEG-1PL	Мы не видим берег из-за темноты. 		
11	Maloe Karachkino Chuvash	5	main	n.a.	 arʑɨn-a jənəʂ aristle-ze	man-OBJ mistake arrest-CV_SIM	The man was arrested mistakenly. 	мужчина-OBJ ошибка арестовать-CV_SIM	Мужчину арестовали по ошибке.	This translation is not included in the database because the causing event is expressed as an adverb, not a nominal phrase.	
11	Maloe Karachkino Chuvash	6	main	INS	 juɕ ɕil-be yk-se	tree wind-INS fall-CV_SIM	The tree fell due to the wind.	дерево ветер-INS падать-CV_SIM	Дерево упало от ветра. 		
11	Maloe Karachkino Chuvash	7	main	INS	 arʑɨn tok-pa vil-ze	man electricity-INS die-CV_SIM	The man died from electric shock.	мужчина ток-INS умереть-CV_SIM	Мужчина погиб от тока.		
11	Maloe Karachkino Chuvash	8	main	INS	 xërarəm sazə-ba sis-se	woman sound-INS feel-CV_SIM	The woman woke up from the noise.	женщина звук-INS чувствовать-CV_SIM	Женщина проснулась от шума. 		
11	Maloe Karachkino Chuvash	9	main	ABL	 arʑɨn-ən səra-ran poɕ ɨrad-at	man-GEN beer-ABL head hurt-NPST[3SG]	The man has a headache from the beer.	мужчина-GEN пиво-ABL голова болеть-NPST[3SG]	У мужчины от пива болит голова. 		
11	Maloe Karachkino Chuvash	10	main	ABL	 xërarəm jɨdə ɕur-in-ʥen kol-z=er-ʨ-ë	woman dog cub-P_3-ABL laugh-CV_SIM=let-PST-3SG	The woman laughed at the puppy. 	женщина собака детеныш-P_3-ABL смеяться-CV_SIM=пустить-PST-3SG	Женщина рассмеялась из-за щенка.		
