language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
40	Khwarshi	1	main	POSS_ABL	q’emqosa l-eq-qa at’amu muq’u-qo-žo	handkerchief IV-become-AOR wet tear-POSS-ABL	The handkerchief got wet from tears.	платок IV-стать-AOR мокрый слеза-POSS-ABL	Платок намок от слез.		
40	Khwarshi	2	main	POSS_ABL	ala l-ic-сa lut’-eł-nu-qo-žo	branch IV-break-AOR heavy-VBLZ-MSD-POSS-ABL	The branch broke from the weight.	ветка IV-ломаться-AOR тяжелый-VBLZ-MSD-POSS-ABL	Ветка сломалась от тяжести		
40	Khwarshi	2	alternate	n.a.	ala l-ic-сa lut’-eł-na	branch IV-break-AOR heavy-VBLZ-CNV	The branch broke, being heavy.	ветка IV-ломаться-AOR тяжелый-VBLZ-CNV	Ветка сломалась, будучи тяжелой.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
40	Khwarshi	3	main	POSS_ABL	ʁini iʁiƛƛaχ-χo papruz-lo gujt’o-qo-žo	woman cough-PRS cigarette-GEN2 smoke.O-POSS-ABL	A woman coughs from cigarette smoke.	женщина кашлять-PRS папироса-GEN2 дым\O-POSS-ABL	Женщина кашляет от сигаретного дыма.		
40	Khwarshi	4	main	POSS_ABL	illu b-akʷa-te iχu sasda-ł-nu-qo-žo	smoke.O-POSS-ABL HPL-see-NEG.PRS river dark-VBLZ-MSD-POSS-ABL	We can't see the river because of the darkness	1PL.GEN HPL-видеть-NEG.PRS река темный-VBLZ-MSD-POSS-ABL	Мы не видим речку из-за темноты		
40	Khwarshi	5	main	n.a.	žu ak’-aχ-na ʕajib gobič’u	dark-VBLZ-MSD-POSS-ABL go-CAUS-EVD guilt without	He was taken away without guilt.	3SG.ABS идти-CAUS-EVD вина без	Его увезли без вины.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
40	Khwarshi	6	alternate	POSS_TRNS	ʁʷan n-iž-ža łac’-qo-jža	tree IV-fell-AOR wind-POSS-TRNS	The tree fell from the wind.	дерево IV-упасть-AOR ветер-POSS-TRNS	Дерево упало от ветра.		
40	Khwarshi	6	main	POSS_ABL	ʁʷan n-iža-na łac’-qo-žo	tree IV-fell-EVD wind-POSS-ABL	The tree fell from the wind.	дерево IV-упасть-EVD ветер-POSS-ABL	Дерево упало от ветра.		
40	Khwarshi	7	alternate	n.a.	žiqʷa iš-ša tok-na b-eq-na	human [I]die-AOR electricity-ADD III-happen-CNV	The man died because there was a current.	человек [I]умереть-AOR ток-ADD III-случиться-CNV	Мужчина умер от удара током.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
40	Khwarshi	7	n.a.	POSS_TRNS	žiqʷa iš-ša tok b-eq-nu-qo-jža	human [I]die-AOR electricity III-happen-MSD-POSS-TRNS	The man died because there was a current.	человек [I]умереть-AOR ток III-случиться-MSD-POSS-TRNS	Мужчина умер от удара током.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
40	Khwarshi	7	main	POSS_ABL	žiqʷa ih-ana tok-qo-žo	human [I]die-EVD electricity-POSS-ABL	The man died due to the current.	человек [I]умереть-EVD ток-POSS-ABL	Мужчина умер из-за тока.		
40	Khwarshi	8	alternate	POSS_TRNS	ʁini j-ič’-a quj-qo-jža	woman II-wake_up-AOR noise-POSS-TRNS	The woman woke up because of the noise.	женщина II-просыпаться-AOR шум-POSS-TRNS	Женщина проснулась из-за шума.		
40	Khwarshi	8	main	POSS_ABL	ʁini j-ič’-na šaršale-qo-žo	woman II-wake_up-EVD rustling-POSS-ABL	The woman woke up because of the rustling.	женщина II-проснуться-EVD шуршание-POSS-ABL	Женщина проснулась из-за шуршания.		
40	Khwarshi	8	alternate	n.a.	ʁini j-ič’-a quj b-eča-na	woman II-wake_up-AOR noise III-be-CNV	The woman woke up because there was noise.	женщина II-просыпаться-AOR шум III-быть-CNV	Женщина проснулась, потому что был шум.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
40	Khwarshi	9	alternate	POSS_TRNS	χol-es araqa-qo-jža q’em l-eƛ-ƛo	husband-GEN1 vodka-POSS-TRNS head IV-hurt-PRS	My husband has a headache from araka.	муж-GEN1 арака-POSS-TRNS голова IV-болеть-PRS	У мужа болит голова от араки.		
40	Khwarshi	9	main	n.a.	žiqʷa-s ʁiƛ-o hibana-qo-žo q’em l-eƛ-ƛa	man-GEN1 drink-PTCP thing-POSS-ABL head IV-hurt-AOR	The man had a headache from what he has drunk.	мужчина-GEN1 пьянеть-PTCP вещь-POSS-ABL голова IV-болеть-AOR	У мужчины заболела голова от выпитого.	This translation is not included in the database because the noun phrase used in the nominal causal construction semantically deviates from the one intended by the stimulus sentence.	
40	Khwarshi	10	alternate	POSS_ATR	kad qʷaqʷa-ƛa-ha k’it’-lo hih-qo-la	girl haha-QUOT-PRS cat-GEN2 chick-POSS-LAT	The girl laughed at the kitten.	девочка хаха-QUOT-PRS кот-GEN2 птенец-POSS-LAT	Девочка рассмеялась из-за котенка.		
40	Khwarshi	10	main	SUPER_ABL	ʁini qʷaqʷa-ƛa-ha ʁʷe-ƛ’o-žo	woman haha-QUOT-PRS dog-SUPER-ABL	The woman laughed at the dog.	женщина хаха-QUOT-PRS собака-SUPER-ABL	Женщина рассмеялась из-за собаки.		
40	Khwarshi	11	main	POSS_ABL	žiqʷa iha-na zahrujab čuʕa-qo-žo	man [I]die-EVD poisonous fish-POSS-ABL	The man died from poisonous fish.	мужчина [I]умереть-EVD ядовитый рыба-POSS-ABL	Мужчина умер от ядовитой рыбы.		
40	Khwarshi	12	alternate	POSS_TRNS	kad razi gołe iłi-lo q’ilmate-za-qo-jža	girl satisfied be.PRS 3SG.O-GEN2 mark-PL.O-POSS-TRNS	The girl is satisfied with her grades.	девочка доволен быть.PRS 3SG.O-GEN2 оценка-PL.O-POSS-TRNS	Девочка довольна своими оценками.		
