language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments
10	Belarusian	1	main	ad_GEN	xustk-a namok-l-a ad slёz	handkerchief-NOM.SG get_wet-PST-SG.F PREP tear[GEN.PL]	The handerchief soaked from tears.	платок-NOM.SG намокнуть-PST-SG.F PREP слеза[GEN.PL]	Платок намок от слез.	
10	Belarusian	2	main	ad_GEN	galink-a zlama-l-a-sja ad cjažar-u	branch-NOM.SG break-PST-SG.F-REFL PREP weight-GEN.SG	The branch broke from the weight.	ветка-NOM.SG сломаться-PST-SG.F-REFL PREP тяжесть-GEN.SG	Ветка сломалась от тяжести.	
10	Belarusian	2	alternate	z-za_GEN	galink-a zlama-l-a-sja z-za cjažar-u	branch-NOM.SG break-PST-SG.F-REFL PREP weight-GEN.SG	The branch broke from the weight.	ветка-NOM.SG сломаться-PST-SG.F-REFL PREP тяжесть-GEN.SG	Ветка сломалась от тяжести.	
10	Belarusian	2	alternate	praz_ACC	galink-a zlama-l-a-sja praz cjažar	branch-NOM.SG break-PST-SG.F-REFL PREP weight[ACC.SG]	The branch broke from the weight.	ветка-NOM.SG сломаться-PST-SG.F-REFL PREP тяжесть[ACC.SG]	Ветка сломалась от тяжести.	
10	Belarusian	3	main	ad_GEN	žančyn-a kašlja-e ad dym-u	woman-NOM.SG cough-PRS.3SG PREP smoke-GEN.SG	The woman is coughing because of the smoke.	женщина-NOM.SG кашлять-PRS.3SG PREP дым-GEN.SG	Женщина кашляет от дыма.	
10	Belarusian	4	main	z-za_GEN	my ne bač-ym berag-a z-za cemr-y	we.NOM NEG see-1PL bank-GEN.SG PREP darkness-GEN.SG	We can’t see the bank because of the darkness.	мы.NOM NEG видеть-1PL берег-GEN.SG PREP темнота-GEN.SG	Мы не видим берег из-за темноты.	
10	Belarusian	4	alternate	praz_ACC	my ne bač-ym berag-a praz cemr-u	we.NOM NEG see-1PL bank-GEN.SG PREP darkness-ACC.SG	We can’t see the bank because of the darkness.	мы.NOM NEG видеть-1PL берег-GEN.SG PREP темнота-ACC.SG	Мы не видим берег из-за темноты.	
10	Belarusian	5	main	praz_ACC	mužčyn-u aryštava-l-i praz pamylk-u	man-ACC.SG arrest-PST-PL PREP mistake-ACC.SG	The man was arrested by mistake. 	мужчина-ACC.SG арестовать-PST-PL PREP  ошибкa-ACC.SG	Мужчину арестовали по ошибке.	
10	Belarusian	5	alternate	z-za_GEN	mužčyn-u aryštava-l-i z-za pamylk-i	man-ACC.SG arrest-PST-PL PREP mistake-GEN.SG	The man was arrested by mistake. 	мужчина-ACC.SG арестовать-PST-PL PREP  ошибкa-GEN.SG	Мужчину арестовали по ошибке.	
10	Belarusian	6	main	ad_GEN	drèv-a ŭpa-l-a ad vetr-u	tree-NOM.SG fall-PST-SG.N PREP wind-GEN.SG	The tree fell because of the wind.	дерево-NOM.SG упасть-PST-SG.N PREP ветер-GEN.SG	Дерево упало из-за ветра.	
