language_no	language_name	causal_marker	morphosyntactic_type	explicitness	goal	instrument	location	object	source	other	other_details
1	English	at	adposition	no	yes	no	yes	no	no	n.a.	
1	English	because_of	adposition	yes	no	no	no	no	no	no	
1	English	by	adposition	yes	no	yes	yes	no	no	yes	agent in passive clauses
1	English	due_to	adposition	yes	no	no	no	no	no	no	
1	English	for	adposition	yes	yes	no	no	no	no	n.a.	
1	English	from	adposition	yes	no	no	no	no	yes	n.a.	
1	English	in	adposition	no	yes	no	yes	no	no	n.a.	
1	English	judging_by	adposition	yes	no	no	no	no	no	n.a.	
1	English	of	adposition	yes	no	no	no	no	no	yes	possession
1	English	out_of	adposition	yes	no	no	no	no	yes	n.a.	
1	English	over	adposition	no	yes	no	yes	no	no	n.a.	
1	English	per	adposition	no	no	no	no	no	no	n.a.	for each
1	English	thanks_to	adposition	yes	no	no	no	no	no	no	
1	English	with	adposition	yes	no	yes	no	no	no	yes	commitative 
