language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
41	Filipino	1	alternate	sa	Babád=na ang=pányo sa lúhaˀ.	soaked=already NOM=kerchief OBL tear	The handkerchief got soaked from tears.				
41	Filipino	1	main	GEN	Na-basáˀ=ng lúhaˀ ang=pányo.	PV.PFV.MOD-wet=GEN tear NOM=kerchief	The [hand]kerchief got wet from tears.				
41	Filipino	2	main	dahil_sa	Na-báliˀ ang=sangá dáhil sa bigát.	PV.PFV.MOD-break NOM=branch because OBL weight	The branch broke from the weight.				
41	Filipino	3	main	dahil_sa	Na-u~úbo ang=babáe dáhil sa úsok.	PV-IPFV~cough NOM=woman because OBL smoke	The woman is coughing because of the smoke.				
41	Filipino	4	main	n.a.	Di=nátin ma-kíta ang=dalampasígan, kasí madilím.	NEG=1PL.INCL PV.NEUT.MOD-see NOM=shore because dark	We cannot see the shore because it is dark.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	5	main	n.a.	In-arésto ang=laláki dáhil napagka-mál[iˀ]-an.	PV.PFV-arrest NOM=man because PV.PFV.MOD-mistake-RECP	The man was arrested because [it was] misunderstood.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	6	main	dahil_sa	Na-tumbá ang=púno dáhil sa hángin.	PFV.MOD-fall NOM=tree because OBL wind	The tree fell due to the wind.				
41	Filipino	7	alternate	dahil_sa	Na-matáy ang=Mámaˀ dáhil sa kuryénte.	PFV.MOD.EV-die NOM=mister because OBL electricity	The mister died from electricity.				
41	Filipino	7	main	n.a.	Na-matáy ang=Mámaˀ dáhil na-kuryénte siyá.	PFV.MOD.EV-die NOM=mister because PFV.MOD.EV-electricity 3SG	The man died because he got electrocuted.			This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
41	Filipino	8	main	dahil_sa	Na-gísing ang=babáe dáhil sa íngay.	PFV.MOD.EV-wake_up NOM=woman because OBL noise	The woman woke up from the noise.				
41	Filipino	8	alternate	sa	Na-gísing ang=babáe sa íngay.	PFV.MOD.EV-wake_up NOM=woman OBL noise	The woman woke up from the noise.				
41	Filipino	9	main	dahil_sa	Masakít ang=úlo=ng laláki dáhil sa serbésa.	painful NOM=head=GEN man because OBL beer	The man has a headache from the beer.				
