language_no	language_name	stimulus_no	status	causal_marker	sentence	glosses_en	back_translation_en	glosses_ru	back_translation_ru	comments	comments_informal
16	Udmurt (South)	1	main	ABL	Kyšet-ez kotm-i-z śińkyĺi-leś.	kerchief-P.3SG get_wet-PST-3(SG) tear-ABL	The handerchief got soaked from tears.	платок-P.3SG намокать-PST-3(SG) слеза-ABL	Платок намок от слез.		
16	Udmurt (South)	2	main	ABL	Vaj-ez tija-śk-i-z śekyt-leś.	branch-P.3SG break-DETR-PST-3(SG) heavy-ABL	The branch broke from the weight.	ветка-P.3SG ломать-DETR-PST-3(SG) тяжесть-ABL	Ветка сломалась от тяжести.		
16	Udmurt (South)	3	main	ABL	Kyšnomurt kyz-e čyn-leś.	woman cough-PRS.3SG smoke-ABL	The woman is coughing because of the smoke.	женщина кашлять-PRS.3SG дым-ABL	Женщина кашляет от дыма.		
16	Udmurt (South)	4	main	INS	Mi u-m adǯ́-iśk-e jar1 dur2-ez pejmyt-en.	we NEG.PRS-1PL see-PRS-PL river_bank1,2-ACC.SG dark-INS	We can’t see the river bank because of the darkness.	мы NEG.PRS-1PL видеть-PRS-PL берег1,2-ACC.SG темнота-INS	Мы не видим берег из-за темноты.		
16	Udmurt (South)	5	main	ABL	Vorgoron-ez kut-i-z-y jangyš-en.	man-ACC catch-PST-3-PL mistake-INS	The man was caught by mistake. 	мужчина-ACC ловить-PST-3-PL ошибка-INS	Мужчину поймали по ошибке.		
16	Udmurt (South)	6	main	ABL	Pispu pogra-z tə̑l-leś.	tree fall.PST-3(SG) wind-ABL	The tree fell because of the wind.	дерево падать.PST-3(SG) ветер-ABL	Дерево упало от ветра.		
16	Udmurt (South)	7	main	n.a.	Vorgoron kul-i-z tok šukk-ysa.	man die-PST-3(SG) electric_current hit-CVB	The man died from electric shock.	мужчина умирать-PST-3(SG) ток ударять-CVB	Мужчина погиб от удара тока.	This translation is not included in the database because the causing event is expressed as a dependent clause, not a noun phrase.	
16	Udmurt (South)	8	main	ABL	Kyšnomurt sajka-z kwašet-em-leś.	woman wake_up.PST-3(SG) make_noise-NMZ-ABL	The woman woke up from the noise.	женщина просыпаться.PST-3(SG) шуметь-NMZ-ABL	Женщина проснулась от шума.		
16	Udmurt (South)	9	main	ABL	Piosmurt-len jyr-yz viś-e ju-on-leś.	man-GEN head-P.3SG hurt-PRS.3SG drink-VN-ABL	The man has a headache from the alcoholic drink.	мужчина-GEN голова-P.3SG болеть-PRS.3SG пить-VN-ABL	У мужчины от выпивки болит голова.		
16	Udmurt (South)	10	main	ABL	Kyšnomurt śerekja-z punypi-leś.	woman laugh.PST-3(SG) puppy-ABL	The woman laughed at the puppy. 	женщина смеяться.PST-3(SG) щенок-ABL	Женщина рассмеялась из-за щенка.		
16	Udmurt (South)	11	main	ABL	Vorgoron kul-i-z jad-o č́oryg-leś.	man die-PST-3(SG) poison-ATTR fish-ABL	The man died from a poisonous fish.	мужчина умирать-PST-3(SG) яд-ATTR рыба-ABL	Мужчина умер от ядовитой рыбы.		
